,Score
9945,3.95
2408,3.883333333333333
2201,3.8499999999999996
3533,3.566666666666667
3034,3.533333333333333
2376,3.4833333333333334
1303,3.35
2303,3.333333333333333
2377,3.2500000000000004
6770,3.25
1760,3.1666666666666665
3037,3.15
3035,3.1333333333333333
2454,2.9666666666666663
2317,2.9
3481,2.8666666666666667
3711,2.833333333333333
2881,2.8166666666666664
2637,2.7333333333333334
2891,2.6999999999999997
2308,2.6833333333333336
6285,2.55
2615,2.5000000000000004
2002,2.5
2301,2.466666666666667
1216,2.4333333333333336
2474,2.4333333333333336
3045,2.2
2357,2.166666666666667
2327,2.083333333333333
2609,2.0666666666666664
1301,2.0166666666666666
6669,1.8166666666666667
2883,1.7833333333333334
5880,1.75
2368,1.7333333333333334
2834,1.7166666666666666
2379,1.6333333333333333
2882,1.5666666666666669
2412,1.5166666666666666
2912,1.5166666666666666
2892,1.3833333333333333
3017,1.3499999999999999
2603,1.3333333333333335
2886,1.2999999999999998
1605,1.1333333333333333
2884,0.9166666666666667
1101,0.9
6446,0.8833333333333333
2345,0.75
2382,0.6666666666666666
2330,0.6166666666666667
6415,0.6
2610,0.5333333333333333
2383,0.5166666666666667
3443,0.4
2618,0.3333333333333333
5871,0.26666666666666666
3661,0.15000000000000002
8454,0.11666666666666667
