,Score
6446,4.0
1760,3.9166666666666665
2201,3.8833333333333333
2368,3.766666666666666
2345,3.75
1301,3.6333333333333333
5871,3.566666666666667
2474,3.533333333333333
2412,3.5
3045,3.3833333333333333
2382,3.25
1216,3.25
2317,3.2
1303,3.166666666666667
1326,3.1333333333333333
2308,2.9833333333333334
2892,2.8999999999999995
2884,2.8
3036,2.766666666666666
2891,2.65
2357,2.6333333333333333
2634,2.566666666666667
3443,2.5666666666666664
2882,2.3833333333333333
2881,2.3666666666666667
2618,2.216666666666667
2887,2.2
2883,2.1999999999999997
1101,2.0833333333333335
2886,2.016666666666667
8454,2.0166666666666666
3533,1.9333333333333336
2330,1.85
3481,1.8166666666666667
2377,1.7333333333333334
2885,1.6833333333333331
2610,1.5833333333333333
3017,1.5499999999999998
1605,1.5333333333333332
2609,1.4500000000000002
6415,1.3666666666666667
2408,1.3666666666666665
2303,1.35
2379,1.3333333333333333
2002,1.0999999999999999
2344,1.0166666666666666
3711,0.95
2376,0.8666666666666667
2454,0.7333333333333334
6669,0.6833333333333332
3035,0.6500000000000001
2327,0.6333333333333333
3661,0.5666666666666667
2615,0.45000000000000007
3034,0.3666666666666667
2606,0.36666666666666664
2603,0.2833333333333333
3037,0.25
2637,0.13333333333333333
6770,0.11666666666666667
