,Score
6446,3.9833333333333334
2615,3.9499999999999997
3443,3.8166666666666664
6415,3.8
2345,3.65
2605,3.533333333333333
2454,3.5166666666666666
2609,3.5166666666666666
4938,3.45
2883,3.3333333333333335
6239,3.283333333333333
6669,3.216666666666667
2881,3.0
2377,2.966666666666667
2882,2.933333333333333
2330,2.8833333333333333
2317,2.8666666666666667
1504,2.8500000000000005
3711,2.7166666666666663
2308,2.6999999999999997
3017,2.566666666666667
3035,2.5500000000000003
9945,2.5500000000000003
2327,2.4333333333333336
2303,2.433333333333333
1519,2.3000000000000003
3533,2.25
2357,2.216666666666667
6770,2.05
2891,2.0166666666666666
3661,1.9166666666666665
2383,1.9166666666666665
1605,1.8333333333333333
2353,1.7666666666666668
2610,1.6833333333333331
2618,1.65
2884,1.5499999999999998
3034,1.5166666666666668
2449,1.45
1216,1.4333333333333333
2379,1.3833333333333335
2404,1.3666666666666667
2385,1.2833333333333332
2382,1.2333333333333334
2412,1.1166666666666667
2105,1.0333333333333334
3706,1.0
2301,0.9000000000000001
3044,0.9
2603,0.7833333333333334
2368,0.7833333333333333
3037,0.7333333333333333
3481,0.6833333333333332
2324,0.65
2376,0.5166666666666667
3231,0.44999999999999996
2886,0.4166666666666667
5871,0.3333333333333333
2356,0.26666666666666666
1303,0.11666666666666667
