,Score
6285,3.966666666666667
2360,3.9499999999999997
2383,3.8833333333333333
3533,3.766666666666666
3017,3.6666666666666665
2345,3.6333333333333337
3443,3.5833333333333335
2368,3.55
2308,3.4833333333333334
3711,3.4
2303,3.2666666666666666
6415,3.2666666666666666
1301,3.083333333333334
2327,3.0833333333333335
2376,3.0833333333333335
3037,3.05
1326,2.95
2454,2.9166666666666665
2885,2.8833333333333333
2382,2.6666666666666665
3044,2.65
5871,2.5
2379,2.45
2404,2.316666666666667
4938,2.316666666666667
3034,2.3166666666666664
2395,2.3
2330,2.3
3661,2.2333333333333334
3231,1.9833333333333336
1303,1.9166666666666667
2002,1.8333333333333333
2357,1.7833333333333337
2883,1.7333333333333334
1101,1.7
2882,1.6833333333333331
2884,1.4833333333333334
2412,1.4666666666666666
2891,1.4
2886,1.3833333333333335
2887,1.3333333333333333
6669,1.3
3036,1.1
6505,1.05
2881,1.0
2301,0.9666666666666666
6239,0.9666666666666666
6446,0.95
2317,0.9333333333333333
2324,0.9166666666666667
3481,0.8666666666666667
2615,0.7166666666666666
2605,0.7
2603,0.6166666666666667
1519,0.6
2609,0.38333333333333336
2449,0.31666666666666665
2408,0.18333333333333335
6770,0.15000000000000002
2344,0.06666666666666667
