Date,Equity
2021-12-27,984297.982332934
2021-12-28,1000862.101300586
2021-12-29,991577.0736272044
2021-12-30,990721.6446855646
2022-01-03,958937.1145387293
2022-01-04,966188.4677789361
2022-01-05,959669.3212879851
2022-01-06,948449.977913267
2022-01-07,919791.73178847
2022-01-10,905987.2880117272
2022-01-11,898927.7948304415
2022-01-12,890307.192778176
2022-01-13,875413.8786258291
2022-01-14,870236.4964326964
2022-01-17,878771.307510192
2022-01-18,884274.5949572916
2022-01-19,870862.2379938652
2022-01-20,871028.2724849449
2022-01-21,859079.9416802314
2022-01-24,861105.4475902086
2022-01-25,851652.02925414
2022-01-26,849729.4353731358
2022-02-07,861943.7981545336
2022-02-08,867249.8294336959
2022-02-09,875241.7080613391
2022-02-10,869284.4917254896
2022-02-11,872658.2703299526
2022-02-14,872516.6832023859
2022-02-15,860437.2288027244
2022-02-16,860837.1224995807
2022-02-17,873764.7440804902
2022-02-18,876324.8496451741
2022-02-21,875066.0272190353
2022-02-22,865029.8503949399
2022-02-23,888490.9145323314
2022-02-24,872072.9148041742
2022-02-25,882457.8049335601
2022-03-01,903996.1161451484
2022-03-02,906394.0408687445
2022-03-03,919556.3538515111
2022-03-04,914015.1701033325
2022-03-07,862658.4696162945
2022-03-08,827087.031344974
2022-03-09,842995.6257139998
2022-03-10,865785.8025944317
2022-03-11,866626.8228522412
2022-03-14,869916.2541695617
2022-03-15,842597.8447969016
2022-03-16,828322.6825743647
2022-03-17,837307.6687340494
2022-03-18,837312.526594803
2022-03-21,838211.3523461693
2022-03-22,838091.0912322733
2022-03-23,839793.923396102
2022-03-24,837564.7307132217
2022-03-25,834764.2699433273
2022-03-28,840993.1615678666
2022-03-29,844174.9520020284
2022-03-30,841978.6124108905
2022-03-31,841506.9658558439
2022-04-01,845215.8462764734
2022-04-06,849960.8924155554
2022-04-07,829311.0387482834
2022-04-08,849295.5303041909
2022-04-11,847283.2072940844
2022-04-12,846733.7592761961
2022-04-13,852829.8564250623
2022-04-14,840532.226842118
2022-04-15,835337.4476670986
2022-04-18,816464.767402625
2022-04-19,827352.4168336099
2022-04-20,831594.5455326686
2022-04-21,832123.4203992541
2022-04-22,834568.0141178413
2022-04-25,822883.1423414174
2022-04-26,822240.6794537657
2022-04-27,819854.1673294193
2022-04-28,820733.039001123
2022-04-29,826155.1810181397
2022-05-03,820091.4837023594
2022-05-04,817802.1151082701
2022-05-05,815565.7193815521
2022-05-06,815384.7150236596
2022-05-09,803390.4382281688
2022-05-10,804461.0556759328
2022-05-11,794964.1631217562
2022-05-12,782474.7964171495
2022-05-13,789352.5309154799
2022-05-16,789103.7447656197
2022-05-17,782020.8801843832
2022-05-18,790802.4548702679
2022-05-19,783200.326740177
2022-05-20,792830.0637190716
2022-05-23,794779.2460704139
2022-05-24,794236.9311683106
2022-05-25,802401.2238431385
2022-05-26,797407.1794747304
2022-05-27,799794.8642238671
2022-05-30,807019.2035719007
2022-05-31,804156.9909781158
2022-06-01,811424.6242975715
2022-06-02,805358.1042925443
2022-06-06,792636.700836321
2022-06-07,793071.1428295405
2022-06-08,801493.5875699407
2022-06-09,799328.4829258648
2022-06-10,793217.1157544106
2022-06-13,775407.470515563
2022-06-14,776853.7137009818
2022-06-15,775138.1873585781
2022-06-16,766562.5174184504
2022-06-17,759405.5368763006
2022-06-20,743320.4060994117
2022-06-21,755025.1199369081
2022-06-22,742256.1690655285
2022-06-23,741694.0489134905
2022-06-24,742020.158779546
2022-06-27,744945.9320174442
2022-06-28,743293.4021989576
2022-06-29,745775.2194795622
