,Score
2327,4.0
3481,3.8999999999999995
2454,3.8833333333333333
2303,3.783333333333333
3149,3.55
6239,3.5333333333333337
6415,3.466666666666667
3036,3.4166666666666665
6285,3.3666666666666663
2356,3.2500000000000004
2395,3.216666666666667
2344,3.183333333333333
3443,3.1166666666666663
2408,3.1
2301,3.0333333333333337
2360,2.933333333333333
6446,2.9000000000000004
2377,2.9
3037,2.8333333333333335
3711,2.7666666666666666
2383,2.75
2404,2.5666666666666664
1605,2.4833333333333334
6669,2.4
6770,2.3999999999999995
2345,2.3666666666666667
2376,2.3333333333333335
2357,2.3166666666666664
3035,2.2333333333333334
3661,2.15
2317,1.95
3034,1.9166666666666665
2308,1.8333333333333335
2324,1.7666666666666668
1504,1.7333333333333336
5274O,1.6666666666666665
2885,1.65
2881,1.4833333333333334
2449,1.416666666666667
2882,1.3666666666666665
2379,1.2666666666666666
2891,1.2499999999999998
3706,1.15
2368,1.15
3044,1.1333333333333333
2330,1.1166666666666667
2883,1.0
3533,1.0
3231,0.9833333333333333
2603,0.9666666666666667
1303,0.6166666666666667
2412,0.5333333333333333
3529O,0.5333333333333333
3045,0.5
2382,0.4833333333333333
3017,0.43333333333333335
2892,0.35000000000000003
2887,0.31666666666666665
2884,0.18333333333333335
1519,0.11666666666666667
