Date,Equity
2019-04-11,1000000.0
2019-04-12,992505.7155828284
2019-04-15,1011192.5747213172
2019-04-16,1016533.5934474076
2019-04-17,1021908.102509686
2019-04-18,1020201.975061085
2019-04-19,1030159.5746571085
2019-04-22,1026797.0063911936
2019-04-23,1028862.2457233927
2019-04-24,1027688.413524296
2019-04-25,1033214.3076855204
2019-04-26,1011289.3858124277
2019-04-29,994275.481221821
2019-04-30,1012756.7258316538
2019-05-02,1009791.8062893412
2019-05-03,1023713.8644920847
2019-05-06,995746.3216403164
2019-05-07,1018881.5408840966
2019-05-08,1018352.2108975244
2019-05-09,985758.3011336387
2019-05-10,982971.9885511083
2019-05-13,978701.4808362329
2019-05-14,977887.8240502093
2019-05-15,988468.105364897
2019-05-16,976266.1788798354
2019-05-17,972748.8213088778
2019-05-20,972678.7636779384
2019-05-21,976760.2642741643
2019-05-22,976151.6737370931
2019-05-23,973705.1016126119
2019-05-24,970041.6191745244
2019-05-27,972209.132789179
2019-05-28,967523.663834139
2019-05-29,963862.4327538619
2019-05-30,963970.234011949
2019-05-31,965725.444987596
2019-06-03,959728.6773198867
2019-06-04,958476.6980988171
2019-06-05,958832.7939230856
2019-06-06,958442.4210491924
2019-06-10,965175.5292987813
2019-06-11,963323.4965651194
2019-06-12,950798.7955550388
2019-06-13,945889.6321673613
2019-06-14,942714.0469081958
2019-06-17,942292.6640413364
2019-06-18,950438.7765014728
2019-06-19,961515.8229492267
2019-06-20,963194.7454689106
2019-06-21,961653.5557106098
2019-06-24,969628.6839550098
2019-06-25,964882.510445412
2019-06-26,963720.4115598758
2019-06-27,974147.016506966
2019-06-28,966145.351996239
2019-07-01,964862.1720059138
2019-07-02,965735.0227978737
2019-07-03,959759.8919719562
2019-07-04,964035.9511527184
2019-07-05,970740.3553872014
2019-07-08,967227.443503374
2019-07-09,959847.596421195
2019-07-10,967845.9723575686
2019-07-11,979031.3148293538
2019-07-12,989798.378703465
2019-07-15,1003846.5694632025
2019-07-16,995977.1843552032
2019-07-17,991987.9078087249
2019-07-18,983334.433916513
2019-07-19,999255.7276558318
2019-07-22,1016009.4437565246
2019-07-23,1019301.9290184417
2019-07-24,1035774.9202904144
2019-07-25,1043563.0518144758
2019-07-26,1045738.8038090324
2019-07-29,1037011.0095530339
2019-07-30,1015081.5857634572
2019-07-31,1013867.8047758122
2019-08-01,1015919.3052859894
2019-08-02,977610.2909524983
2019-08-05,951168.7417102909
2019-08-06,944362.9491295703
2019-08-07,950485.864569176
2019-08-08,963402.0629330701
2019-08-12,975426.1246301904
2019-08-13,975834.9905285559
2019-08-14,991210.9954724014
2019-08-15,995152.3212728181
2019-08-16,1001916.8676671663
2019-08-19,1022889.6597844257
2019-08-20,1046693.1249372936
2019-08-21,1049430.5639976922
2019-08-22,1068455.0371040765
2019-08-23,1057329.4068321649
2019-08-26,1037165.5950540459
2019-08-27,1047580.3535063192
2019-08-28,1048942.102018209
2019-08-29,1055834.57137883
2019-08-30,1069521.277171152
2019-09-02,1074646.0256410826
2019-09-03,1064791.2136741865
2019-09-04,1068357.3729406584
2019-09-05,1074102.019209503
2019-09-06,1075939.8781923163
2019-09-10,1058552.7924173134
2019-09-11,1067724.4745109265
2019-09-12,1077407.191439963
2019-09-16,1090471.787847477
2019-09-17,1095337.7911099968
2019-09-18,1092524.7604015216
2019-09-19,1098695.2306414251
2019-09-20,1104807.4881299743
2019-09-23,1117532.28872668
2019-09-24,1107295.3108789935
2019-09-25,1090861.8667793176
2019-09-26,1085291.4500409558
2019-09-27,1073944.2365321147
2019-10-01,1082280.650692277
2019-10-02,1082188.4734906065
2019-10-03,1077395.1719619564
2019-10-04,1086386.1645550372
2019-10-07,1098026.3981957394
2019-10-08,1101334.8517772956
2019-10-09,1098267.8385948231
2019-10-14,1122533.638928892
2019-10-15,1122634.8702074252
2019-10-16,1114383.6631275348
2019-10-17,1121866.198916418
2019-10-18,1118907.9277816666
2019-10-21,1110464.549129094
2019-10-22,1120813.6842819108
2019-10-23,1127095.464542518
2019-10-24,1142069.343546241
2019-10-25,1133872.6020873482
2019-10-28,1141579.2594874795
2019-10-29,1135370.9611199684
2019-10-30,1144552.304162342
2019-10-31,1136313.7097645912
2019-11-01,1144697.877543598
2019-11-04,1149022.6283172176
2019-11-05,1152718.7483906704
2019-11-06,1146914.2104763943
2019-11-07,1137573.145649429
2019-11-08,1153498.2715186202
2019-11-11,1146250.2484233514
2019-11-12,1160005.063198995
2019-11-13,1160423.75590782
2019-11-14,1159206.8108627633
2019-11-15,1166111.6726638651
2019-11-18,1170577.6962081767
2019-11-19,1168447.1193199812
2019-11-20,1157982.6385878972
2019-11-21,1153901.1323356084
2019-11-22,1153685.6382789067
2019-11-25,1149682.5489081792
2019-11-26,1160099.9600471035
2019-11-27,1158050.469629393
2019-11-28,1155477.9341927627
2019-11-29,1145851.5157319168
2019-12-02,1136205.3732690627
2019-12-03,1136624.7808841646
2019-12-04,1136329.9817216976
2019-12-05,1139565.2534681312
2019-12-06,1154972.222327833
2019-12-09,1159445.1774091609
2019-12-10,1172154.3377556605
2019-12-11,1181874.6988760708
2019-12-12,1182583.9786359547
2019-12-13,1180850.0474093107
2019-12-16,1199993.3038006974
2019-12-17,1200254.8355809404
2019-12-18,1192802.2485016747
2019-12-19,1196915.6235138325
2019-12-20,1195014.273241177
2019-12-23,1189873.2269171008
2019-12-24,1190793.7758558232
2019-12-25,1201518.7689652464
2019-12-26,1198597.1142672303
2019-12-27,1214280.51206064
2019-12-30,1217421.9038451808
2019-12-31,1209684.5167704814
2020-01-02,1215840.5595036738
2020-01-03,1209896.328498552
2020-01-06,1198764.413631394
2020-01-07,1166223.2219690238
2020-01-08,1162096.3975661802
2020-01-09,1168993.4604417603
2020-01-10,1184083.220747441
2020-01-13,1199329.4715335
2020-01-14,1202850.708063255
2020-01-15,1192130.5714324545
2020-01-16,1187763.1710141615
2020-01-17,1190251.7559388597
2020-01-20,1198184.1657823045
2020-01-30,1126469.3772730276
2020-01-31,1130862.782499921
2020-02-03,1125099.8228074107
2020-02-04,1091797.8454849191
2020-02-05,1086778.820979304
2020-02-06,1093983.8659411753
2020-02-07,1064292.5024595312
2020-02-10,1057048.4785957388
2020-02-11,1060178.8129468015
2020-02-12,1073946.0087227873
2020-02-13,1067322.7712922147
2020-02-14,1078813.3087220243
2020-02-17,1067330.4759526304
2020-02-18,1061234.5825376562
2020-02-19,1080466.1708130888
2020-02-20,1079615.6033983282
2020-02-21,1072741.0681719831
2020-02-24,1056125.0048885397
2020-02-25,1053385.964591985
2020-02-26,1038724.9259605459
2020-02-27,1022018.2998988067
2020-03-02,1021629.9528590133
2020-03-03,1036420.4709913784
2020-03-04,1041420.2069418484
2020-03-05,1053503.2418766976
2020-03-06,1053503.2418766976
2020-03-09,1053503.2418766976
2020-03-10,1053503.2418766976
2020-03-11,1053503.2418766976
