Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,TP_Price,SL_Price
3037,2018-11-28,2018-12-06,17.11,20.07,0.1651,🟢 停利,6,20.07,14.89
2610,2018-11-29,2018-12-06,9.72,9.08,-0.073,🔴 停損,5,10.59,9.08
9910,2018-11-29,2018-12-10,107.86,97.25,-0.1045,🔴 停損,7,122.0,97.25
2458,2018-11-28,2018-12-19,43.2,49.63,0.1411,🟢 停利,15,49.63,38.37
2834,2018-11-29,2018-12-19,6.85,6.56,-0.0491,🔴 停損,14,7.24,6.56
2344,2018-11-28,2018-12-21,12.65,11.34,-0.1101,🔴 停損,17,14.4,11.34
2368,2018-11-28,2018-12-26,12.55,12.87,0.0191,⚪ 時間到期,20,14.87,10.81
2345,2018-11-28,2018-12-26,83.78,80.78,-0.0425,⚪ 時間到期,20,96.19,74.48
2408,2018-11-28,2018-12-26,45.21,41.91,-0.0793,⚪ 時間到期,20,52.53,39.73
2301,2018-11-28,2018-12-26,25.77,26.11,0.006,⚪ 時間到期,20,28.02,24.09
2376,2018-12-26,2018-12-27,32.17,28.66,-0.1154,🔴 停損,1,36.86,28.66
2449,2018-12-26,2019-01-04,17.2,15.17,-0.124,🔴 停損,5,19.91,15.17
3037,2018-12-06,2019-01-07,19.83,20.75,0.0396,⚪ 時間到期,20,23.26,17.25
2610,2018-12-06,2019-01-07,9.33,9.58,0.0199,⚪ 時間到期,20,10.36,8.56
2618,2018-12-10,2019-01-09,12.18,12.36,0.0082,⚪ 時間到期,20,13.23,11.39
3037,2019-01-07,2019-01-14,21.34,17.84,-0.1695,🔴 停損,5,25.99,17.84
5871,2019-01-09,2019-01-15,63.43,67.24,0.0528,🟢 停利,4,67.24,60.57
2458,2018-12-19,2019-01-18,48.41,50.53,0.0367,⚪ 時間到期,20,54.97,43.49
6285,2018-12-19,2019-01-18,59.72,59.06,-0.0178,⚪ 時間到期,20,67.08,54.19
2379,2018-12-21,2019-01-22,106.0,109.91,0.0298,⚪ 時間到期,20,122.43,93.68
3533,2018-12-26,2019-01-25,176.21,171.94,-0.0309,⚪ 時間到期,20,207.24,152.94
2377,2018-12-26,2019-01-25,55.77,55.72,-0.0078,⚪ 時間到期,20,64.31,49.37
3034,2018-12-27,2019-01-28,84.94,92.41,0.0804,⚪ 時間到期,20,97.39,75.61
1760,2019-01-22,2019-01-28,80.61,95.68,0.1789,🟢 停利,4,95.68,69.3
2449,2019-01-04,2019-02-12,16.06,16.76,0.0365,⚪ 時間到期,20,18.97,13.87
5876,2019-01-18,2019-02-12,31.66,33.41,0.048,🟢 停利,10,33.41,30.35
