Date,Equity
2023-04-07,988632.4546421994
2023-04-10,1013592.3386225189
2023-04-11,1026788.9895227366
2023-04-12,1044095.5048768518
2023-04-13,1022269.4293076132
2023-04-14,1028859.4222163688
2023-04-17,1033196.1546053969
2023-04-18,1021257.4628771637
2023-04-19,1030160.0309228703
2023-04-20,1016393.8043983924
2023-04-21,991398.9590865681
2023-04-24,1008924.1238144502
2023-04-25,974126.374968612
2023-04-26,987462.7169743822
2023-04-27,1005514.7688493035
2023-04-28,1012550.0897509102
2023-05-02,1037419.1413590908
2023-05-03,1025079.8408952777
2023-05-04,1027433.2860057784
2023-05-05,1022168.713823527
2023-05-08,1033738.4884769442
2023-05-09,1027157.3542606548
2023-05-10,1022451.6463545439
2023-05-11,1016341.0650949145
2023-05-12,1022217.3801867191
2023-05-15,1024051.0705455764
2023-05-16,1028813.8485227082
2023-05-17,1028052.8642329082
2023-05-18,1042507.4087018789
2023-05-19,1059441.1799176778
2023-05-22,1057795.1270597563
2023-05-23,1067312.176178645
2023-05-24,1072590.7227503308
2023-05-25,1106938.0873748998
2023-05-26,1103225.3009054495
2023-05-29,1139060.2151480457
2023-05-30,1134805.7223205839
2023-05-31,1140317.4746685554
2023-06-01,1162663.1245890048
2023-06-02,1183307.808478834
2023-06-05,1188440.5087081697
2023-06-06,1185813.7349698255
2023-06-07,1217582.9882616817
2023-06-08,1187921.2444061923
2023-06-09,1221690.3182529844
2023-06-12,1213154.2408611237
2023-06-13,1247053.673222578
2023-06-14,1273718.7127819713
2023-06-15,1320701.946688741
2023-06-16,1335774.570511146
2023-06-19,1328154.1630027804
2023-06-20,1325063.912506483
2023-06-21,1347462.2473205691
2023-06-26,1324488.4456437675
2023-06-27,1272963.4707958826
2023-06-28,1280363.3816222239
2023-06-29,1303676.5746495519
2023-06-30,1329939.2734493108
2023-07-03,1371597.295202202
2023-07-04,1446143.8235706629
2023-07-05,1432164.2052578044
2023-07-06,1422584.612803457
2023-07-07,1405318.156736516
2023-07-10,1425450.4043948257
2023-07-11,1484037.388371064
2023-07-12,1530924.2760522666
2023-07-13,1565605.6107342057
2023-07-14,1604763.787874911
2023-07-17,1603603.6635306533
2023-07-18,1591409.547494523
2023-07-19,1563053.7366672112
2023-07-20,1610488.4909642187
2023-07-21,1699041.6164767628
2023-07-24,1737070.3747922631
2023-07-25,1707572.4042730662
2023-07-26,1701050.9660543236
2023-07-27,1692334.2722993556
2023-07-28,1723192.7158247328
2023-07-31,1669128.7456448367
2023-08-01,1650887.9731219192
2023-08-02,1527340.0493358152
2023-08-04,1537850.4474584956
2023-08-07,1619510.9461288562
2023-08-08,1606402.2786906185
2023-08-09,1605652.1949776828
2023-08-10,1532585.1326067112
2023-08-11,1555935.9615646626
2023-08-14,1533030.7711661619
2023-08-15,1586947.5965214332
2023-08-16,1628800.0061676882
2023-08-17,1668758.5579382624
2023-08-18,1625479.4879155108
2023-08-21,1651405.1414584613
2023-08-22,1675426.632711908
2023-08-23,1689080.5216941906
2023-08-24,1693371.77360276
2023-08-25,1666963.8511745327
2023-08-28,1652200.7090380655
2023-08-29,1654534.0074281932
2023-08-30,1653934.5804342406
2023-08-31,1654305.5840657896
