Date,Equity
2019-08-28,997274.3683993686
2019-08-29,1002449.7543204338
2019-08-30,1016135.7758476852
2019-09-02,1012722.120036654
2019-09-03,1004160.8111689275
2019-09-04,1005644.7474770332
2019-09-05,1008839.9334231049
2019-09-06,1010253.4409119166
2019-09-10,1002230.0017054833
2019-09-11,1009849.2548513442
2019-09-12,1018754.8587719935
2019-09-16,1018584.4587116402
2019-09-17,1023056.1541768279
2019-09-18,1030949.2811100951
2019-09-19,1047189.1618750553
2019-09-20,1056050.5029607965
2019-09-23,1066079.823413454
2019-09-24,1062839.3543533362
2019-09-25,1059118.2049027763
2019-09-26,1055794.1888340253
2019-09-27,1039001.1672214669
2019-10-01,1049007.7025150221
2019-10-02,1055633.8919431057
2019-10-03,1048517.3471033854
2019-10-04,1059253.3757426238
2019-10-07,1071980.122287261
2019-10-08,1077438.3338766736
2019-10-09,1072032.7667726474
2019-10-14,1096613.8198607892
2019-10-15,1099375.735252616
2019-10-16,1101857.8235382703
2019-10-17,1100878.209127618
2019-10-18,1103252.75041242
2019-10-21,1093395.316418672
2019-10-22,1101389.2261712768
2019-10-23,1108401.524302803
2019-10-24,1125126.4917934975
2019-10-25,1118607.8066477473
2019-10-28,1122312.7542772545
2019-10-29,1112485.1178103164
2019-10-30,1110324.159184021
2019-10-31,1117939.2448707863
2019-11-01,1116008.447500327
2019-11-04,1118093.0332161838
2019-11-05,1124051.1581003778
2019-11-06,1124701.1594158786
2019-11-07,1110669.4623178178
2019-11-08,1113404.6232158914
2019-11-11,1091562.6973070211
2019-11-12,1113144.7555654023
2019-11-13,1114627.8983279043
2019-11-14,1109419.013501701
2019-11-15,1124268.2568715962
2019-11-18,1132519.2876294907
2019-11-19,1138347.2305399813
2019-11-20,1130450.9704997195
2019-11-21,1126380.875120012
2019-11-22,1127797.3054297795
2019-11-25,1121691.1455049212
2019-11-26,1127362.2759071256
2019-11-27,1131505.0954178188
2019-11-28,1127971.718157877
2019-11-29,1112393.9604626445
2019-12-02,1099424.5010235999
2019-12-03,1108924.5529059805
2019-12-04,1106512.8291125107
2019-12-05,1106609.5478740786
2019-12-06,1109731.4766048144
2019-12-09,1101074.2017733103
2019-12-10,1108687.598212872
2019-12-11,1110727.1945279797
2019-12-12,1110178.674276892
2019-12-13,1110813.0876502672
2019-12-16,1123665.7251417376
2019-12-17,1124700.143990636
2019-12-18,1121690.6756359595
2019-12-19,1119857.6172525682
2019-12-20,1115837.789560837
2019-12-23,1109767.8812867259
2019-12-24,1109845.0830566569
2019-12-25,1118037.137152113
2019-12-26,1114356.105348764
2019-12-27,1128982.0307888081
2019-12-30,1129699.4441449984
2019-12-31,1125269.858683385
2020-01-02,1127672.0468730114
2020-01-03,1119623.4816579975
2020-01-06,1112043.0698373902
2020-01-07,1072333.1461199683
2020-01-08,1075544.747757823
2020-01-09,1100470.5064274024
2020-01-10,1103757.5722633149
2020-01-13,1119122.6622985224
2020-01-14,1124051.6694593073
2020-01-15,1116816.1004760175
2020-01-16,1114109.6843532855
2020-01-17,1119517.698816654
2020-01-20,1129620.1057637278
2020-01-30,1061002.0783314852
