Date,Equity
2007-11-29,999623.9185400783
2007-11-30,999457.50616156
2007-12-03,996486.2049405699
2007-12-04,998557.7602322851
2007-12-05,1000495.2726432751
2007-12-06,1002028.0623845074
2007-12-07,1003541.5883462935
2007-12-10,999997.846922649
2007-12-11,1002369.7576127184
2007-12-12,998381.0148953116
2007-12-13,986756.615830561
2007-12-14,984897.8027210033
2007-12-17,973631.6731571893
2007-12-18,976105.859543553
2007-12-19,981833.4330529076
2007-12-20,974047.7097105848
2007-12-21,972814.6631011404
2007-12-24,977885.1708218755
2007-12-25,977930.8064040424
2007-12-26,980757.7620175662
2007-12-27,985177.3952936112
2007-12-28,984648.7327937516
2007-12-31,983395.3958950153
2008-01-02,971666.6202033974
2008-01-03,973289.8213243781
2008-01-04,978683.9694207356
2008-01-07,960390.5384118916
2008-01-08,982946.736109952
2008-01-09,984427.056181811
2008-01-10,978395.4965708533
2008-01-11,969335.2210813356
2008-01-14,998199.9485303682
2008-01-15,1024192.6799783935
2008-01-16,993531.2199322332
2008-01-17,972145.0601242913
2008-01-18,979536.2364045947
2008-01-21,993502.3751671053
2008-01-22,943202.3654062928
2008-01-23,928213.6689430997
2008-01-24,948633.0422078836
2008-01-25,953887.0228696266
2008-01-28,929215.2759262288
2008-01-29,929719.7539784411
2008-01-30,919848.9714803658
2008-01-31,921778.9688826082
2008-02-01,943301.0792724785
2008-02-12,938289.040919025
2008-02-13,939411.8915150847
2008-02-14,957130.938074413
2008-02-15,950513.7419082989
2008-02-18,943837.7804787062
2008-02-19,950586.2922070692
2008-02-20,933365.6100887817
2008-02-21,953563.6776884146
2008-02-22,958710.8235224352
2008-02-25,974547.5889264649
2008-02-26,971934.2927932306
2008-02-27,973047.7523681825
2008-02-29,969828.9395497667
2008-03-03,967266.0177362032
2008-03-04,991524.8929550716
2008-03-05,999093.5877428792
2008-03-06,996982.0784986085
2008-03-07,972939.1604537619
2008-03-10,947216.4776210265
2008-03-11,969647.7720973763
2008-03-12,964909.6352280033
2008-03-13,933782.0801560938
2008-03-14,938258.1639650244
2008-03-17,928816.080849785
2008-03-18,932245.0127326335
2008-03-19,942051.551588632
2008-03-20,955859.1819309127
2008-03-21,978248.6768258478
2008-03-24,1023944.2686806906
2008-03-25,996111.0459476069
2008-03-26,984538.4782111454
2008-03-27,960383.1943611403
2008-03-28,976289.3679622783
2008-03-31,965819.4731303537
2008-04-01,941519.4510409548
2008-04-02,957676.6343437204
2008-04-03,959263.8552447404
2008-04-07,981410.757532736
2008-04-08,975318.2982842257
2008-04-09,978716.2940646447
2008-04-10,991490.465003864
2008-04-11,1001032.4649847592
2008-04-14,999708.7397568792
2008-04-15,995638.0537700686
2008-04-16,1003071.8675973353
2008-04-17,988292.0658859761
2008-04-18,973761.6859030011
2008-04-21,982672.437929676
2008-04-22,988343.0131797234
2008-04-23,995381.5930503806
2008-04-24,997881.319770522
2008-04-25,995307.7066939377
2008-04-28,1002956.8997211747
2008-04-29,987607.8821772917
2008-04-30,993148.6117860518
2008-05-02,1009657.8226243977
2008-05-05,1000057.1162125081
2008-05-06,1002947.0726929144
2008-05-07,1018289.4468785982
2008-05-08,1016477.9514338718
2008-05-09,999740.5485561494
2008-05-12,999650.0552527413
2008-05-13,1013719.7775531572
2008-05-14,1019342.1749654961
2008-05-15,1027136.4481354892
2008-05-16,1034857.5137549895
2008-05-19,1037085.242518032
2008-05-20,1013569.7215414671
2008-05-21,1008230.0642756583
2008-05-22,998789.1112744872
2008-05-23,969743.4261798806
2008-05-26,962811.7881493157
2008-05-27,967438.3750909123
2008-05-28,952516.5607810986
2008-05-29,960796.6927549969
2008-05-30,946134.1172109854
2008-06-02,954725.1261774274
2008-06-03,945344.0408354168
2008-06-04,950804.4610186202
2008-06-05,956603.1141182173
2008-06-06,955022.0124736049
2008-06-09,942332.0538365009
2008-06-10,926593.101082219
2008-06-11,920345.008977645
2008-06-12,908346.2454369824
2008-06-13,910651.913447821
2008-06-16,913843.8852345684
2008-06-17,914824.2380886578
2008-06-18,912733.398035938
2008-06-19,906185.7829700483
2008-06-20,899578.8305287107
2008-06-23,900015.6674010749
2008-06-24,898503.0585675845
2008-06-25,902916.5615815115
2008-06-26,900008.5652863828
2008-06-27,892180.8663712264
2008-06-30,893632.1572285064
2008-07-01,892832.6108857208
2008-07-02,890547.8687454262
2008-07-03,890867.0460959228
2008-07-04,889343.6187650927
2008-07-07,890172.1397716753
2008-07-08,886443.1982015381
2008-07-09,887319.4228049984
2008-07-10,886622.4589288009
2008-07-11,887454.9404312654
2008-07-14,887667.6417439965
2008-07-15,886417.4523138059
2008-07-16,884741.8705857397
2008-07-17,886385.4160125712
2008-07-18,887039.5052983713
2008-07-21,888418.602817399
2008-07-22,888948.1259527638
2008-07-23,889812.9758893338
2008-07-24,890442.9450611474
2008-07-25,888805.9177451695
2008-07-28,889262.5151074147
2008-07-29,878850.123761304
2008-07-30,884534.0242513295
2008-07-31,871809.4454158187
2008-08-01,860973.2371703523
2008-08-04,858262.3201732849
2008-08-05,834960.2439255517
2008-08-06,842827.3188986124
2008-08-07,854727.5010855142
2008-08-08,872993.9699813235
2008-08-11,891893.6536805525
2008-08-12,891581.2534322675
2008-08-13,899698.1324965733
2008-08-14,895963.4702665826
2008-08-15,869287.4271333412
2008-08-18,852532.8837592901
2008-08-19,860289.1982968615
2008-08-20,867422.7678192452
2008-08-21,845414.2702501137
2008-08-22,833237.3864403096
2008-08-25,843259.6183140178
2008-08-26,840302.5937462911
2008-08-27,857059.4822319732
2008-08-28,852913.3726231495
2008-08-29,856592.1830954277
2008-09-01,820795.8685841006
2008-09-02,810559.1793495291
2008-09-03,801863.7408565438
2008-09-04,796179.7088376837
2008-09-05,792156.7447955684
2008-09-08,808107.8191603418
2008-09-09,790990.0199114581
2008-09-10,789509.3563949532
2008-09-11,779020.4703860442
2008-09-12,782961.5333526526
2008-09-15,768241.5822157488
2008-09-16,755113.1772460283
2008-09-17,757748.0361615716
2008-09-18,755645.8936328324
2008-09-19,760902.0896838461
2008-09-22,763422.2474291781
2008-09-23,766899.0360032574
2008-09-24,764679.1463485075
2008-09-25,762256.4659555233
2008-09-26,756810.4877350891
2008-09-29,760369.7144348781
2008-09-30,750550.8843952621
2008-10-01,749308.3963512734
2008-10-02,746327.942102378
2008-10-03,746603.8834180627
2008-10-06,741556.1561921092
2008-10-07,740474.1219701882
2008-10-08,732969.8026328246
2008-10-09,731819.5892557974
2008-10-13,729838.941791549
2008-10-14,732985.1895344955
2008-10-15,732311.9967996577
2008-10-16,730402.7477504045
2008-10-17,730433.8622820968
2008-10-20,730464.9778325346
2008-10-21,730869.4687820246
2008-10-22,730769.5395165537
2008-10-23,730769.5395165537
2008-10-24,730520.6222442705
2008-10-27,730520.6222442705
2008-10-28,730520.6222442705
2008-10-29,730520.6222442705
2008-10-30,731298.4896115582
2008-10-31,731142.9149156058
2008-11-03,732385.9759175268
2008-11-04,731783.8887347096
2008-11-05,724514.1885103373
2008-11-06,714872.4294878464
2008-11-07,717714.4841779078
2008-11-10,718802.8493914412
2008-11-11,711167.3253703067
2008-11-12,707537.5225523999
2008-11-13,706255.6425057646
2008-11-14,706451.7539185117
2008-11-17,711931.5900588742
2008-11-18,707616.3141904678
2008-11-19,705584.4627666217
2008-11-20,690134.5396384937
2008-11-21,689606.2193569181
2008-11-24,693650.4381354923
2008-11-25,691326.3184590321
2008-11-26,693349.9508575507
2008-11-27,702202.2857689674
2008-11-28,701488.5211391292
2008-12-01,708015.4697530733
2008-12-02,704246.5543304718
2008-12-03,705035.9841596722
2008-12-04,688998.1700224945
2008-12-05,683267.9697960756
2008-12-08,696981.246318988
2008-12-09,693787.0331388746
2008-12-10,709679.8615647656
2008-12-11,701016.8359929838
2008-12-12,688569.5158938733
2008-12-15,698629.6835610823
2008-12-16,698280.7093673574
2008-12-17,697715.9105721734
2008-12-18,703492.14165382
2008-12-19,704413.2966016809
