Date,Equity
2023-04-20,998813.0029841727
2023-04-21,997983.558808725
2023-04-24,1000423.1002134266
2023-04-25,996765.6021482758
2023-04-26,998187.5714667714
2023-04-27,1000085.1697471605
2023-04-28,1000726.9533449466
2023-05-02,1003888.1635203931
2023-05-03,1002054.4888241016
2023-05-04,1003457.5985126052
2023-05-05,1002697.7014211579
2023-05-08,1004969.5853820968
2023-05-09,1003868.8821156794
2023-05-10,1001715.4993763347
2023-05-11,1000334.8479853756
2023-05-12,1001853.2621190993
2023-05-15,1000398.8632293356
2023-05-16,1002422.2796840332
2023-05-17,1003834.0580913589
2023-05-18,1010701.2856401574
2023-05-19,1026329.3836337919
2023-05-22,1025462.7039765057
2023-05-23,1033908.5821734903
2023-05-24,1044629.5647784345
2023-05-25,1075120.45081552
2023-05-26,1079561.270221521
2023-05-29,1112871.7258627154
2023-05-30,1107720.631745236
2023-05-31,1115003.0489137073
2023-06-01,1128647.374472332
2023-06-02,1162746.9656711589
2023-06-05,1164847.1109036864
2023-06-06,1161506.553173544
2023-06-07,1188672.631402258
2023-06-08,1161670.6752607
2023-06-09,1192089.6066398285
2023-06-12,1182511.197418869
2023-06-13,1208632.7738536962
2023-06-14,1222987.244620358
2023-06-15,1252833.9633160266
2023-06-16,1266298.1472507834
2023-06-19,1253430.0557734128
2023-06-20,1253348.0637580238
2023-06-21,1269733.6894009984
2023-06-26,1250079.3810886538
2023-06-27,1209107.8977153979
2023-06-28,1216129.0529068012
2023-06-29,1237369.9961349017
2023-06-30,1262097.5335789446
2023-07-03,1299215.664137309
2023-07-04,1353966.6145182687
2023-07-05,1338981.9423300799
2023-07-06,1326232.021425703
2023-07-07,1314919.5434517383
2023-07-10,1333207.3051501291
2023-07-11,1383514.5519042911
2023-07-12,1414268.9797983218
2023-07-13,1432384.9381747886
2023-07-14,1466202.5604106933
2023-07-17,1465441.5536025295
2023-07-18,1466279.4302388104
2023-07-19,1442403.4485602663
2023-07-20,1486157.8924562335
2023-07-21,1565965.8165135211
2023-07-24,1603362.3547115854
2023-07-25,1587312.1429698232
2023-07-26,1579025.832806984
2023-07-27,1582594.1903300935
2023-07-28,1610869.9520870845
2023-07-31,1556418.0178619712
2023-08-01,1532802.0937604527
2023-08-02,1425367.5942022528
2023-08-04,1430803.8469996927
2023-08-07,1497426.1455458694
2023-08-08,1487765.4624944723
2023-08-09,1486780.003392731
2023-08-10,1428880.0232030505
2023-08-11,1445685.205259122
2023-08-14,1423263.7358352141
2023-08-15,1470452.0268012413
2023-08-16,1504043.6664891054
2023-08-17,1533410.7948993659
2023-08-18,1502686.246530819
2023-08-21,1518263.1797756224
2023-08-22,1539087.1890001872
2023-08-23,1549855.6015265796
2023-08-24,1551750.0847502288
2023-08-25,1531301.352089954
2023-08-28,1518916.0212369727
2023-08-29,1522016.295424939
2023-08-30,1521247.3289713424
2023-08-31,1521372.247680336
2023-09-01,1510942.2739832762
2023-09-04,1513781.82779942
2023-09-05,1515011.7191913803
2023-09-06,1521561.2412373812
