Date,Equity
2023-04-06,996619.9357021934
2023-04-07,1002167.6637343665
2023-04-10,1036234.6182409773
2023-04-11,1053585.5297634036
2023-04-12,1085112.4443327573
2023-04-13,1061311.6228387565
2023-04-14,1066660.5793766845
2023-04-17,1065005.8791682266
2023-04-18,1059892.482058039
2023-04-19,1076474.7585519385
2023-04-20,1058788.1747729976
2023-04-21,1026404.4468007188
2023-04-24,1041716.959543638
2023-04-25,1005029.3923135785
2023-04-26,1018719.1584228367
2023-04-27,1028789.0531311624
2023-04-28,1035550.4058776824
2023-05-02,1074949.375644524
2023-05-03,1058914.572032288
2023-05-04,1066593.2628882865
2023-05-05,1059968.4600461589
2023-05-08,1072704.4393079008
2023-05-09,1074155.6826793328
2023-05-10,1075776.4594093643
2023-05-11,1071518.1350832474
2023-05-12,1071518.1350832474
2023-05-15,1071518.1350832474
2023-05-16,1071518.1350832474
2023-05-17,1074808.9247023636
2023-05-18,1102528.4557530454
2023-05-19,1136178.3031516632
2023-05-22,1129800.8108921011
2023-05-23,1147545.3086563938
2023-05-24,1158779.4795737283
2023-05-25,1200960.680014477
2023-05-26,1208809.8710333428
2023-05-29,1250000.1982204928
2023-05-30,1243567.5695366415
2023-05-31,1252195.089499939
2023-06-01,1281318.0518876382
2023-06-02,1307899.6373752041
2023-06-05,1303544.6302335765
2023-06-06,1302745.6179171763
2023-06-07,1325013.8364729777
2023-06-08,1289742.6933903848
2023-06-09,1329055.6914094938
2023-06-12,1314746.2011550646
2023-06-13,1347107.995785519
2023-06-14,1382664.1673809676
2023-06-15,1433681.4908518177
2023-06-16,1455975.134837224
2023-06-19,1442633.9630022065
2023-06-20,1440998.7355286141
2023-06-21,1464806.485140233
2023-06-26,1444992.8767500853
2023-06-27,1389336.1847927342
2023-06-28,1399958.6939704202
2023-06-29,1414266.7098830985
2023-06-30,1431769.5819401648
2023-07-03,1466952.2415379453
2023-07-04,1518906.0907809888
2023-07-05,1486411.1893359462
2023-07-06,1489714.0569576484
2023-07-07,1483105.480835584
2023-07-10,1497101.3784767038
2023-07-11,1556786.8996796547
2023-07-12,1596108.614892346
2023-07-13,1612390.4038090447
2023-07-14,1663185.0873028208
2023-07-17,1687089.0155591732
2023-07-18,1672577.4508659656
2023-07-19,1642305.3848884075
2023-07-20,1710324.0963889817
2023-07-21,1800954.5777829327
2023-07-24,1821337.50547797
2023-07-25,1811389.7009086255
2023-07-26,1809687.3032602926
2023-07-27,1808918.7079613253
2023-07-28,1824657.868819046
2023-07-31,1764373.3488013395
2023-08-01,1733738.3757740133
2023-08-02,1621212.878877905
2023-08-04,1635778.9282890437
2023-08-07,1685607.469828194
2023-08-08,1690875.6831103524
2023-08-09,1699147.8349840362
2023-08-10,1632371.1445983243
2023-08-11,1653165.1093876953
2023-08-14,1613946.1161741682
2023-08-15,1660234.9919656
2023-08-16,1716009.1614832561
2023-08-17,1746253.296825599
2023-08-18,1710547.3141936143
2023-08-21,1733168.7914577962
2023-08-22,1752531.7586191741
2023-08-23,1770849.6582076096
2023-08-24,1767164.8492323472
2023-08-25,1732834.0698141945
2023-08-28,1720428.6523373965
2023-08-29,1720469.6668173268
2023-08-30,1728412.3671526392
2023-08-31,1739487.7811387763
2023-09-01,1728158.5152479825
2023-09-04,1733115.069790453
2023-09-05,1733115.069790453
2023-09-06,1733819.9788082528
2023-09-07,1733819.9788082528
2023-09-08,1733819.9788082528
2023-09-11,1733819.9788082528
2023-09-12,1733819.9788082528
2023-09-13,1733819.9788082528
2023-09-14,1734754.0710933374
2023-09-15,1739690.8782593661
2023-09-18,1724793.626319831
2023-09-19,1734004.2007748627
2023-09-20,1691162.2056919457
2023-09-21,1639931.926425418
2023-09-22,1646695.0033274253
2023-09-25,1666562.9510221167
2023-09-26,1669352.7176641598
2023-09-27,1685502.769805155
2023-09-28,1681725.5116774808
2023-10-02,1677109.6899126535
2023-10-03,1660461.3780792144
2023-10-04,1654892.4532182098
2023-10-05,1675731.6715425795
2023-10-06,1687576.3997911215
2023-10-11,1677043.5245478072
2023-10-12,1698577.6487796127
2023-10-13,1704139.6281710747
2023-10-16,1687095.6664248225
2023-10-17,1656858.6809523164
2023-10-18,1612608.883065967
2023-10-19,1603893.7045537843
2023-10-20,1591657.5860905722
