Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,TP_Price,SL_Price
2376,2021-11-29,2021-12-13,105.14,128.71,0.2158,🟢 停利,10,128.71,87.46
2610,2021-11-29,2021-12-27,22.18,23.93,0.0715,⚪ 時間到期,20,28.02,17.8
2345,2021-11-29,2021-12-27,266.27,240.51,-0.1029,⚪ 時間到期,20,310.29,233.25
3533,2021-11-29,2021-12-27,595.16,676.95,0.1296,⚪ 時間到期,20,693.12,521.69
2377,2021-11-29,2021-12-27,130.79,131.9,0.0016,⚪ 時間到期,20,150.33,116.14
2883,2021-11-29,2021-12-27,13.42,14.25,0.0546,⚪ 時間到期,20,14.73,12.44
2383,2021-11-29,2021-12-27,238.44,247.57,0.0312,⚪ 時間到期,20,269.04,215.49
2618,2021-11-30,2021-12-28,21.52,23.57,0.0874,⚪ 時間到期,20,27.47,17.06
2344,2021-11-30,2021-12-28,28.93,28.95,-0.0063,⚪ 時間到期,20,32.9,25.96
3037,2021-11-30,2021-12-28,196.73,216.46,0.0928,⚪ 時間到期,20,231.51,170.65
2615,2021-12-13,2022-01-03,143.09,125.85,-0.1265,🔴 停損,14,166.07,125.85
3035,2021-12-27,2022-01-06,233.69,196.55,-0.1647,🔴 停損,7,279.0,199.71
2368,2021-12-27,2022-01-07,81.03,73.61,-0.0978,🔴 停損,8,90.93,73.61
6116,2021-12-28,2022-01-07,16.64,15.29,-0.0879,🔴 停損,7,18.45,15.29
2376,2021-12-27,2022-01-10,126.81,109.84,-0.1397,🔴 停損,9,148.86,110.27
2603,2021-12-27,2022-01-14,132.67,117.53,-0.1202,🔴 停損,13,152.85,117.53
3034,2021-12-28,2022-01-14,364.66,335.41,-0.0865,🔴 停損,12,402.66,336.17
3533,2022-01-03,2022-01-14,683.9,628.56,-0.0872,🔴 停損,9,757.68,628.56
2327,2022-01-06,2022-01-14,120.69,113.12,-0.0692,🔴 停損,6,130.79,113.12
2308,2022-01-07,2022-01-14,267.61,249.95,-0.0724,🔴 停損,5,289.86,250.93
2882,2022-01-14,2022-01-21,55.1,52.76,-0.049,🔴 停損,5,58.22,52.76
2834,2022-01-17,2022-01-21,8.23,7.9,-0.0462,🔴 停損,4,8.66,7.9
2637,2021-12-27,2022-01-24,62.58,54.98,-0.1274,🔴 停損,19,72.71,54.98
6446,2021-12-27,2022-01-25,254.21,253.07,-0.0113,⚪ 時間到期,20,350.64,181.88
2618,2021-12-28,2022-01-26,23.46,20.64,-0.1262,⚪ 時間到期,20,28.16,19.94
3017,2022-01-21,2022-02-11,88.59,98.88,0.1086,🟢 停利,8,98.88,80.87
3036,2022-01-14,2022-02-14,69.16,76.21,0.0944,🟢 停利,14,76.21,63.88
3023,2022-01-07,2022-02-15,249.26,244.17,-0.0271,⚪ 時間到期,20,284.01,223.19
2382,2022-01-10,2022-02-16,74.4,74.24,-0.0089,⚪ 時間到期,20,79.22,70.79
3036,2022-02-15,2022-02-18,79.24,68.77,-0.1381,🔴 停損,3,92.7,69.14
2360,2022-01-14,2022-02-22,185.02,172.01,-0.0767,⚪ 時間到期,20,215.0,162.54
2883,2022-01-14,2022-02-22,15.74,16.36,0.0321,⚪ 時間到期,20,16.9,14.87
3231,2022-01-25,2022-02-23,26.35,25.3,-0.0462,🔴 停損,14,27.74,25.3
1760,2022-02-14,2022-02-23,87.94,114.01,0.2877,🟢 停利,7,106.48,74.03
3035,2022-02-22,2022-03-01,218.45,268.19,0.2193,🟢 停利,4,268.19,181.15
2368,2022-01-21,2022-03-02,82.12,81.35,-0.0162,⚪ 時間到期,20,95.82,71.86
2887,2022-01-24,2022-03-03,15.0,14.76,-0.0228,⚪ 時間到期,20,16.0,14.25
2603,2022-02-22,2022-03-04,137.39,159.74,0.1548,🟢 停利,7,159.74,120.62
2891,2022-01-26,2022-03-07,22.48,21.63,-0.0442,⚪ 時間到期,20,24.17,21.21
3037,2022-03-03,2022-03-07,229.37,200.98,-0.1298,🔴 停損,2,267.23,200.98
2618,2022-02-16,2022-03-08,27.89,24.38,-0.1318,🔴 停損,13,32.05,24.78
2344,2022-02-23,2022-03-08,31.96,28.76,-0.1063,🔴 停損,8,36.23,28.76
2603,2022-03-04,2022-03-08,152.49,134.1,-0.1266,🔴 停損,2,177.02,134.1
2609,2022-03-07,2022-03-08,65.84,57.73,-0.1291,🔴 停損,1,76.65,57.73
1605,2022-03-08,2022-03-09,27.06,24.87,-0.0873,🔴 停損,1,29.99,24.87
3017,2022-02-11,2022-03-10,95.87,111.89,0.1591,🟢 停利,18,111.58,84.09
3661,2022-02-18,2022-03-16,1085.08,917.28,-0.1604,🔴 停損,17,1308.82,917.28
2615,2022-03-07,2022-03-16,132.47,111.9,-0.161,🔴 停損,7,159.9,111.9
2637,2022-02-23,2022-03-24,68.36,64.84,-0.058,⚪ 時間到期,20,77.8,61.28
1760,2022-03-01,2022-03-29,101.5,91.77,-0.102,⚪ 時間到期,20,125.97,83.15
3035,2022-03-02,2022-03-30,274.34,288.36,0.044,⚪ 時間到期,20,331.27,231.64
2603,2022-03-08,2022-04-07,139.75,121.21,-0.1386,⚪ 時間到期,20,166.82,119.44
2609,2022-03-08,2022-04-07,59.92,58.63,-0.0282,⚪ 時間到期,20,71.29,51.39
2618,2022-03-08,2022-04-07,24.41,27.52,0.1199,⚪ 時間到期,20,31.58,19.03
2886,2022-03-29,2022-04-07,34.24,36.48,0.0579,🟢 停利,5,36.48,32.57
2002,2022-03-09,2022-04-08,31.85,33.04,0.0303,⚪ 時間到期,20,34.83,29.62
2834,2022-03-24,2022-04-08,9.72,10.59,0.0822,🟢 停利,9,10.59,9.07
3017,2022-03-10,2022-04-11,112.0,98.08,-0.1303,⚪ 時間到期,20,136.96,93.28
9945,2022-03-30,2022-04-12,52.22,48.18,-0.0838,🔴 停損,7,57.61,48.18
1605,2022-03-16,2022-04-13,24.78,28.37,0.1368,🟢 停利,18,28.37,22.1
4904,2022-03-16,2022-04-15,62.51,64.15,0.0192,⚪ 時間到期,20,66.71,59.36
5880,2022-04-07,2022-04-15,23.95,22.75,-0.0562,🔴 停損,6,25.44,22.83
2892,2022-04-11,2022-04-15,23.36,22.23,-0.0548,🔴 停損,4,24.86,22.23
2886,2022-04-07,2022-04-18,35.78,34.0,-0.0562,🔴 停損,7,38.15,34.0
2884,2022-04-07,2022-04-18,26.68,25.46,-0.052,🔴 停損,7,28.3,25.46
2891,2022-04-08,2022-04-18,25.12,23.67,-0.0643,🔴 停損,6,27.06,23.67
1760,2022-04-12,2022-04-18,111.32,135.04,0.2048,🟢 停利,4,131.6,96.11
2883,2022-04-13,2022-04-18,16.63,15.58,-0.0692,🔴 停損,3,18.02,15.58
1605,2022-04-15,2022-04-19,31.67,35.31,0.1075,🟢 停利,2,35.31,28.94
1760,2022-04-18,2022-04-20,135.18,159.48,0.1717,🟢 停利,2,159.48,116.95
1605,2022-04-19,2022-04-20,33.56,38.6,0.1423,🟢 停利,1,37.56,30.56
2637,2022-04-18,2022-04-25,75.5,68.78,-0.0952,🔴 停損,5,84.46,68.78
1760,2022-04-20,2022-04-26,149.68,128.16,-0.1496,🔴 停損,4,178.37,128.16
2886,2022-04-18,2022-05-05,34.49,32.31,-0.0695,🔴 停損,12,37.39,32.31
2618,2022-04-07,2022-05-06,29.18,31.13,0.0595,⚪ 時間到期,20,34.27,25.37
2834,2022-04-08,2022-05-06,10.1,9.29,-0.0868,🔴 停損,19,11.15,9.32
2892,2022-04-15,2022-05-06,22.41,21.16,-0.0622,🔴 停損,14,24.05,21.18
2891,2022-04-18,2022-05-06,24.01,22.53,-0.0677,🔴 停損,13,25.97,22.53
1605,2022-04-25,2022-05-06,38.98,34.59,-0.1187,🔴 停損,8,44.84,34.59
2884,2022-04-18,2022-05-09,25.74,24.09,-0.0706,🔴 停損,14,27.94,24.09
1760,2022-04-26,2022-05-11,134.71,106.07,-0.218,🔴 停損,10,170.22,108.07
2368,2022-04-15,2022-05-16,83.22,85.42,0.0194,⚪ 時間到期,20,96.83,73.01
3533,2022-04-20,2022-05-19,671.35,727.09,0.0756,⚪ 時間到期,20,758.2,606.21
2603,2022-05-06,2022-05-19,141.16,126.4,-0.1107,🔴 停損,9,160.31,126.8
2637,2022-05-05,2022-06-02,77.38,77.68,-0.003,⚪ 時間到期,20,92.88,65.75
1605,2022-05-06,2022-06-06,34.68,37.44,0.0722,⚪ 時間到期,20,43.76,27.87
2605,2022-05-06,2022-06-06,25.61,23.22,-0.0997,⚪ 時間到期,20,31.52,21.19
