,Score
6446,4.0
2449,3.8999999999999995
2317,3.8166666666666664
1519,3.783333333333333
2308,3.7333333333333334
2330,3.6166666666666667
2327,3.4833333333333334
2383,3.45
3035,3.3833333333333333
2382,3.3166666666666664
2454,3.3000000000000003
2881,3.2333333333333334
3443,3.116666666666667
2883,3.0333333333333337
2408,2.9000000000000004
2891,2.8833333333333333
2618,2.883333333333333
2345,2.8
2882,2.7666666666666666
3711,2.766666666666666
6770,2.5166666666666666
2610,2.5
2615,2.4833333333333334
2885,2.3666666666666667
1216,2.35
3036,2.2333333333333334
4938,2.1333333333333333
3044,2.066666666666667
2368,2.0333333333333337
1504,1.9333333333333333
2886,1.9000000000000001
6669,1.9
3481,1.7833333333333332
2356,1.7666666666666666
6239,1.75
3045,1.6833333333333333
3017,1.65
3533,1.6333333333333333
6415,1.5499999999999998
2609,1.4666666666666666
2303,1.45
2344,1.4333333333333336
2357,1.3166666666666667
3034,1.3166666666666664
5871,1.2500000000000002
2301,1.2
2412,1.2
2379,0.9333333333333333
2603,0.8666666666666667
3037,0.85
2385,0.6500000000000001
3231,0.6166666666666667
2324,0.5833333333333333
2377,0.5666666666666667
2376,0.5166666666666666
2353,0.4666666666666667
1303,0.3666666666666667
2105,0.35000000000000003
1301,0.13333333333333333
3661,0.06666666666666667
