,Score
3481,4.0
2887,3.933333333333333
1303,3.7666666666666666
4904,3.766666666666666
2385,3.583333333333333
2324,3.5666666666666664
2449,3.5166666666666666
1326,3.4166666666666665
2834,3.35
2357,3.3000000000000003
3045,3.3
2002,3.233333333333334
2308,3.2333333333333334
1301,3.1333333333333337
3231,3.066666666666667
2330,2.8833333333333333
6239,2.8000000000000003
9945,2.7666666666666666
2881,2.75
2377,2.666666666666666
2610,2.5666666666666664
2801,2.4833333333333334
9904,2.466666666666667
6285,2.4
2353,2.3833333333333333
3035,2.2
2303,2.2
2379,2.2
2606,2.15
2454,2.1166666666666667
2886,2.083333333333333
2605,2.0333333333333337
5880,2.0166666666666666
2382,1.7666666666666666
1605,1.7000000000000002
3034,1.6
2458,1.5999999999999999
2883,1.5833333333333335
2882,1.5166666666666666
2317,1.4499999999999997
2892,1.4000000000000001
6116,1.2333333333333334
2412,1.2
3711,1.0666666666666667
2344,1.0333333333333332
1402,0.9833333333333333
1101,0.8833333333333334
2891,0.85
2885,0.8333333333333334
2360,0.7833333333333332
1216,0.7166666666666668
3443,0.7166666666666667
3037,0.6833333333333333
6005,0.6666666666666667
2408,0.6333333333333334
2301,0.55
2201,0.4666666666666666
2105,0.35000000000000003
2890,0.26666666666666666
2474,0.13333333333333333
