Date,Equity
2019-12-02,993719.8555394809
2019-12-03,996607.1246676078
2019-12-04,995511.5297357765
2019-12-05,994608.5958106688
2019-12-06,998491.2197136845
2019-12-09,1002029.7178056858
2019-12-10,1007117.3653555383
2019-12-11,1006770.3735715685
2019-12-12,1007956.4127871576
2019-12-13,1010027.9887722944
2019-12-16,1012280.4117407502
2019-12-17,1017766.4307920975
2019-12-18,1019878.7227392399
2019-12-19,1018701.0116632461
2019-12-20,1019713.9807551652
2019-12-23,1019764.298289813
2019-12-24,1019940.5991354183
2019-12-25,1027392.9199117187
2019-12-26,1024826.4914768575
2019-12-27,1035066.868867771
2019-12-30,1036912.7367678573
2019-12-31,1028134.4955740285
2020-01-02,1030327.2248242325
2020-01-03,1026640.5656313658
2020-01-06,1008181.0359517952
2020-01-07,988186.6365517046
2020-01-08,986988.4994356076
2020-01-09,1004009.4278481306
2020-01-10,1003389.8822103825
2020-01-13,1018325.3489037332
2020-01-14,1023800.2298094807
2020-01-15,1021664.2088496137
2020-01-16,1017911.4708895286
2020-01-17,1015390.7291960048
2020-01-20,1021362.8358602029
2020-01-30,962360.480007623
2020-01-31,965738.582185799
2020-02-03,959281.0101638695
2020-02-04,949214.6307345855
2020-02-05,943128.3167976306
2020-02-06,946724.7332826854
2020-02-07,937486.3211296963
2020-02-10,933832.437794449
2020-02-11,935418.3550113246
2020-02-12,943541.3907564253
2020-02-13,942678.7655627488
2020-02-14,946436.9704015967
2020-02-17,937754.7729061424
2020-02-18,931924.8723513492
2020-02-19,942177.9706825988
2020-02-20,941241.1676534774
2020-02-21,934971.9206703894
2020-02-24,929838.647388174
2020-02-25,928224.7171521245
2020-02-26,910173.3770188891
2020-02-27,892449.068734445
2020-03-02,889134.6479404232
2020-03-03,891059.1101441985
2020-03-04,886191.5552284723
2020-03-05,893427.5943864223
2020-03-06,893912.550367165
2020-03-09,882607.0120983563
2020-03-10,884025.9065965251
2020-03-11,878908.4750279178
2020-03-12,862254.1373111904
2020-03-13,850763.8187611141
2020-03-16,846967.0186921138
2020-03-17,846559.1034224972
2020-03-18,843589.3381592049
2020-03-19,826975.690600228
2020-03-20,830005.0300764772
2020-03-23,825842.451631268
2020-03-24,828809.9751890645
2020-03-25,830924.370083523
2020-03-26,832853.1758968275
2020-03-27,833640.975224581
2020-03-30,835132.6794828502
2020-03-31,838834.8387272116
2020-04-01,838993.5057750628
2020-04-06,843474.7808855741
2020-04-07,841826.1209082151
2020-04-08,838657.2528285913
2020-04-09,834097.1048121944
2020-04-10,835082.4801709669
2020-04-13,834132.1036533866
2020-04-14,846540.2763779082
2020-04-15,848638.1796257487
2020-04-16,849443.1081409588
2020-04-17,855729.7491342294
2020-04-20,853101.7666317987
2020-04-21,836967.6489613316
2020-04-22,836761.2213947605
2020-04-23,849015.4782380648
2020-04-24,848469.5934759837
2020-04-27,863087.6577054954
2020-04-28,864893.2761332883
2020-04-29,874701.670772285
2020-04-30,885633.7075771829
2020-05-04,891867.2219050501
2020-05-05,889738.589506269
2020-05-06,885776.8075100341
2020-05-07,900338.2222195294
2020-05-08,893827.4546347989
2020-05-11,888787.513040374
2020-05-12,884309.0504900569
2020-05-13,889042.5504653922
2020-05-14,866025.1208503854
2020-05-15,879288.9267039507
2020-05-18,868323.945404488
2020-05-19,881320.5435163956
2020-05-20,891743.6611998739
2020-05-21,906410.1999194871
2020-05-22,899950.7833807211
2020-05-25,920957.6833887425
2020-05-26,937943.9523541997
2020-05-27,919034.9160800137
2020-05-28,905413.3650420945
2020-05-29,908476.8428445049
2020-06-01,904304.1875103358
2020-06-02,876796.6331902866
2020-06-03,888280.6974112313
2020-06-04,887408.1308702684
2020-06-05,892536.1063914669
2020-06-08,875705.8117428629
2020-06-09,888272.460992852
2020-06-10,894795.8274758421
2020-06-11,873914.7368380625
2020-06-12,888515.9365983787
2020-06-15,879503.5409763779
2020-06-16,902659.2130198025
2020-06-17,920498.802088313
2020-06-18,932592.405127715
2020-06-19,928398.6397832592
2020-06-22,948136.3524759088
2020-06-23,948470.1497466599
2020-06-24,949223.6940171358
2020-06-29,948158.5396151899
