,Score
3037,4.0
3533,3.8666666666666663
2605,3.8499999999999996
2383,3.833333333333333
6285,3.7333333333333334
2360,3.6166666666666667
2368,3.5833333333333335
2308,3.566666666666667
2345,3.4
3017,3.3833333333333333
6415,3.3833333333333333
3036,3.2
4938,3.2
2891,3.166666666666667
3711,3.0
2379,2.9000000000000004
2357,2.8666666666666667
2885,2.7666666666666666
3034,2.683333333333333
2615,2.6
1326,2.5166666666666666
2887,2.4833333333333334
2382,2.416666666666667
2376,2.3999999999999995
2886,2.3666666666666667
2618,2.2666666666666666
2330,2.25
3443,2.1166666666666667
1303,2.0999999999999996
2881,1.9833333333333334
2412,1.9833333333333334
2882,1.9000000000000004
2002,1.9
2603,1.8833333333333333
1301,1.8166666666666669
2327,1.7333333333333334
2884,1.6666666666666667
3044,1.6166666666666667
6505,1.5833333333333333
3231,1.4333333333333336
2303,1.4
2449,1.333333333333333
6446,1.3
3706,1.2
2395,1.1333333333333333
3481,1.0333333333333334
1605,0.9666666666666666
2301,0.9166666666666666
2324,0.8999999999999999
2317,0.7
2609,0.6666666666666667
2408,0.6666666666666667
6239,0.5333333333333333
1519,0.44999999999999996
6770,0.43333333333333335
2454,0.4166666666666667
2344,0.35000000000000003
6669,0.21666666666666667
2404,0.18333333333333335
3661,0.18333333333333335
