,Score
2327,4.0
3481,3.8666666666666663
2303,3.8499999999999996
2454,3.833333333333333
6239,3.6999999999999997
6415,3.6166666666666667
3149,3.5666666666666664
2344,3.416666666666667
6285,3.3333333333333335
2395,3.216666666666667
6446,3.2166666666666663
2301,3.2
3036,3.2
2356,3.0833333333333335
3443,3.083333333333333
2377,3.0
3037,2.9333333333333336
2404,2.783333333333333
2360,2.783333333333333
3711,2.75
2408,2.75
2345,2.6
6770,2.4999999999999996
1605,2.2666666666666666
2357,2.2
2308,2.2
2376,2.1833333333333336
2383,2.166666666666667
2449,2.1666666666666665
3034,2.1166666666666667
1504,1.9333333333333333
2881,1.9000000000000004
2317,1.8666666666666667
2885,1.7833333333333332
3661,1.7666666666666668
3035,1.7000000000000002
2324,1.6500000000000001
5274O,1.6166666666666667
6669,1.5666666666666664
2882,1.5166666666666666
3044,1.3333333333333335
2891,1.2999999999999998
2368,1.2833333333333334
2379,1.2333333333333332
3706,1.1333333333333333
2603,0.9666666666666667
1303,0.9166666666666666
3231,0.9
2883,0.8833333333333333
2330,0.8333333333333333
3533,0.7333333333333334
3017,0.6833333333333333
2412,0.5833333333333334
2887,0.5166666666666666
3045,0.5
2382,0.4
2892,0.3833333333333333
3529O,0.21666666666666667
1519,0.2
2884,0.11666666666666667
