Date,Equity
2020-09-21,988664.6845598976
2020-09-22,979567.2027640592
2020-09-23,977411.4187279703
2020-09-24,952113.3525311837
2020-09-25,916977.7590842322
2020-09-28,939212.2136500375
2020-09-29,932068.0404367808
2020-09-30,938957.8726208847
2020-10-05,946829.2968747554
2020-10-06,955704.7289774427
2020-10-07,958838.3472352977
2020-10-08,964010.5907247618
2020-10-12,971955.9905683248
2020-10-13,960536.1915999905
2020-10-14,974776.7889917576
2020-10-15,964147.2094910403
2020-10-16,950863.2172084111
2020-10-19,960273.572817538
2020-10-20,957682.1356075042
2020-10-21,957165.2573231534
2020-10-22,957350.0356297228
2020-10-23,972237.8636321505
2020-10-26,998742.1718749348
2020-10-27,991934.2165706127
2020-10-28,975718.2199796768
2020-10-29,975982.103603158
2020-10-30,956701.9443884714
2020-11-02,956781.354646832
2020-11-03,975635.0504074639
2020-11-04,987763.4973742776
2020-11-05,989278.5636008263
2020-11-06,998233.728509311
2020-11-09,1025438.4387869758
2020-11-10,1003726.417295998
2020-11-11,1002389.3838082124
2020-11-12,979307.7921704932
2020-11-13,981144.7654427328
2020-11-16,988886.0762675578
2020-11-17,1000439.0076123404
2020-11-18,1031183.2054414856
2020-11-19,1035494.4699458258
2020-11-20,1033472.3304247444
2020-11-23,1057293.371664631
2020-11-24,1050675.5425031334
2020-11-25,1057916.6793338328
2020-11-26,1063930.3964452103
2020-11-27,1067294.5610848896
2020-11-30,1064286.4819529995
2020-12-01,1051027.5076609075
2020-12-02,1049186.6447786984
2020-12-03,1048578.5240250449
2020-12-04,1038666.219335802
2020-12-07,1042143.4829812448
2020-12-08,1065711.903561196
2020-12-09,1094570.687589455
2020-12-10,1076891.4473508578
2020-12-11,1050595.5379081152
2020-12-14,1072790.447213145
2020-12-15,1050865.227701472
2020-12-16,1078333.201510225
2020-12-17,1081410.814000248
2020-12-18,1083473.5739535608
2020-12-21,1133016.5521786467
2020-12-22,1089979.8172654698
2020-12-23,1109743.4500284265
2020-12-24,1120953.717783737
2020-12-25,1161848.0130935581
2020-12-28,1244347.884833923
2020-12-29,1244185.068428799
2020-12-30,1241245.0995516032
2020-12-31,1248964.3760908572
2021-01-04,1270561.6181015917
2021-01-05,1258661.330871149
2021-01-06,1196680.1736500787
2021-01-07,1161330.9557400339
2021-01-08,1180476.681877915
2021-01-11,1202249.909257768
2021-01-12,1134725.8891284904
2021-01-13,1140670.9600790697
2021-01-14,1143722.8461936591
2021-01-15,1092955.5335699902
2021-01-18,1078615.2894489681
2021-01-19,1075814.0616571074
2021-01-20,1038178.1024249038
2021-01-21,1068318.7835026467
2021-01-22,1101918.8721518689
2021-01-25,1103864.7202883011
2021-01-26,1062111.3703768305
2021-01-27,1059911.920532592
2021-01-28,1050897.8017590286
2021-01-29,1009558.7815987691
2021-02-01,1015726.1653596174
2021-02-02,1047467.318170009
2021-02-03,1047896.7104843581
2021-02-04,1041624.7665108687
2021-02-05,1047806.6970531181
2021-02-17,1101022.4044423501
2021-02-18,1119480.9098440236
2021-02-19,1112131.1144040218
2021-02-22,1137198.1423381544
2021-02-23,1119428.7299388119
2021-02-24,1101379.2110663732
2021-02-25,1106942.0519329316
2021-02-26,1087313.139668317
2021-03-02,1079349.8339863066
2021-03-03,1087647.776778258
2021-03-04,1071938.8097492354
2021-03-05,1056595.4996034019
2021-03-08,1057395.8189282345
2021-03-09,1066251.9168991873
2021-03-10,1060652.7453349917
2021-03-11,1076070.6356821032
2021-03-12,1082914.3655996346
2021-03-15,1092000.92785896
2021-03-16,1090541.0447417286
2021-03-17,1093799.7159671225
2021-03-18,1109448.7777101079
2021-03-19,1113252.7140534203
2021-03-22,1154699.9045671783
2021-03-23,1138543.363114994
2021-03-24,1143296.9528617198
2021-03-25,1128871.4255346798
2021-03-26,1147048.442216867
2021-03-29,1170127.601474437
2021-03-30,1172630.8969065768
2021-03-31,1177971.1700374032
2021-04-01,1193483.155681684
2021-04-07,1238845.8145659468
2021-04-08,1250719.6069599586
2021-04-09,1245238.629233407
2021-04-12,1266761.1288732742
2021-04-13,1257384.0200056827
2021-04-14,1237311.9199839283
2021-04-15,1244880.2258247328
2021-04-16,1284531.5812551423
2021-04-19,1316178.2111228888
2021-04-20,1329926.9592747393
2021-04-21,1404674.111658094
2021-04-22,1406705.5349885672
2021-04-23,1394166.7347873233
2021-04-26,1431661.4714501894
2021-04-27,1459060.7377913082
2021-04-28,1486339.8516162536
2021-04-29,1498499.2615813322
2021-05-03,1486995.81824381
2021-05-04,1347834.7424127632
2021-05-05,1374151.5890730317
2021-05-06,1365357.8527070708
2021-05-07,1416261.472647696
2021-05-10,1495195.2756200242
2021-05-11,1449372.4235581644
2021-05-12,1333304.8580777645
2021-05-13,1246356.0500077233
2021-05-14,1204622.7149550451
2021-05-17,1183753.8138411036
2021-05-18,1204455.9848143635
2021-05-19,1221739.4844760187
2021-05-20,1215280.3918444072
