Date,Equity
2025-12-30,1010596.9183546469
2025-12-31,1004346.1170575925
2026-01-02,1032553.550778676
2026-01-05,1065399.3056269744
2026-01-06,1117166.359827404
2026-01-07,1120639.5808470023
2026-01-08,1123208.5906823224
2026-01-09,1091980.013234994
2026-01-12,1129376.0900595714
2026-01-13,1149255.8411877488
2026-01-14,1158217.189046268
2026-01-15,1164780.210031718
2026-01-16,1199505.6308200664
2026-01-19,1232408.0582655414
2026-01-20,1246002.8172545573
2026-01-21,1206670.8401015734
2026-01-22,1210317.8881271572
2026-01-23,1200746.7706724622
2026-01-26,1228359.668423895
2026-01-27,1227334.4018420363
2026-01-28,1263053.216068116
2026-01-29,1240949.0928218719
2026-01-30,1268829.1628804076
2026-02-02,1216432.523022013
2026-02-03,1231579.0989128232
2026-02-04,1254654.3385815949
2026-02-05,1189902.3014085486
2026-02-06,1156100.2156280652
2026-02-09,1189535.093589894
2026-02-10,1191413.0484762318
2026-02-11,1201401.177826304
2026-02-23,1251985.1409480218
2026-02-24,1307049.4258630793
2026-02-25,1333341.336883038
2026-02-26,1338690.1238674424
2026-03-02,1307709.858781049
2026-03-03,1247001.930059248
2026-03-04,1146997.1486069765
2026-03-05,1195507.351553054
2026-03-06,1202617.450124349
2026-03-09,1118030.9322732217
2026-03-10,1156659.6661920547
2026-03-11,1204073.819564775
2026-03-12,1213309.4107089879
2026-03-13,1214168.8280079472
2026-03-16,1207385.5435405038
2026-03-17,1226163.3671938987
2026-03-18,1245627.5634368577
2026-03-19,1248598.664292647
2026-03-20,1243790.7680436529
2026-03-23,1200680.6052933065
2026-03-24,1184338.8140372273
2026-03-25,1222727.8883958668
2026-03-26,1226939.36564677
2026-03-27,1223147.4212826146
2026-03-30,1207800.8955885922
2026-03-31,1179204.2472905994
